_MeanReward,Steps,_TimeStep,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-103.735,4096,114688,-0.0876385011116,-0.505386276487,0.000552085878572,0.00956089848808,3.46944695195e-18,-6.32472689018,6.44958461414,0.999959457779,0.0380256339633,-1.91136852447,2.03686934645,0.0445675044619,0.187174,-8.1082,7.09297,3.34985,0.0259075,8.07798,0.00101283,7.59375,1.0,0.00149681149418,-1.67241854183,0.210406955514
-104.32,4096,118784,-0.0781231562758,-0.5,0.000263393203012,0.00461636736102,1.04083408559e-17,-7.93564511985,4.18818861075,0.99994482491,0.0288825072265,-1.41488496775,1.599,0.0378622149204,0.19748,-7.63789,7.9396,3.3277,-0.0137707,8.07705,0.000815801,5.0625,1.0,0.000865001159218,-0.156131487194,0.408902237517
-107.254,4096,122880,-0.0905880293835,-0.503212252854,0.00201538930396,0.0100224290833,1.21430643318e-17,-6.32512976555,9.78777173258,0.999943267222,0.0316716298206,-2.05239606443,2.38639304739,0.0442826560079,0.188075,-6.86728,7.57133,3.29382,0.0246296,8.08021,0.00227795,3.375,1.0,0.00178372727179,0.11206458254,0.802968651624
-103.092,4096,126976,-0.0697148086835,-0.5,0.00056169059957,0.00236294364657,0.0,-11.1801554553,11.1438505275,0.999926417319,0.0284310595226,-0.970691461472,1.599,0.0370726802522,0.16699,-7.57212,7.32051,3.3373,0.0611923,8.07797,0.00155148,2.25,1.0,0.00104976881438,-0.480541314778,0.429387191321
-104.539,4096,131072,-0.0882231478924,-0.513638434927,0.00186302546506,0.00977559086908,0.0,-8.52273169036,7.1483458403,0.999947515901,0.03296187045,-1.82357072622,1.599,0.0427469872404,0.19696,-6.76893,8.24253,3.33996,0.0450092,8.08945,0.00225386,1.5,1.0,0.00199595592774,0.128187206479,0.744610822197
-106.144,4096,135168,-0.0705292436256,-0.500630683575,-0.00052698404761,0.00315053603972,-2.08166817117e-17,-6.91875465303,9.57928621907,0.999918671582,0.0272787700854,-1.1795654904,1.599,0.0344842726834,0.199839,-6.78431,7.48095,3.34022,-0.0584309,8.08807,0.00981785,1.5,1.0,0.00102153654048,-0.0604015472153,0.514849271551
-102.091,4096,139264,-0.0643663130137,-0.0971275562271,0.00081893602066,0.000329049115838,-6.93889390391e-18,-2.94711741673,18.429175705,0.999888103256,0.0229202144085,-1.07036372211,1.599,0.0334172435626,0.140839,-7.71797,8.12176,3.36627,-1.99288,8.12859,0.0402199,2.25,1.0,0.00117616541652,0.240802657653,-0.7832817324
-102.102,4096,143360,-0.064096680128,-0.0894795664833,0.00216002387076,0.000330063274311,5.20417042793e-17,-5.28217680015,17.3448390781,0.999894285202,0.0251099421871,-1.02877237705,1.599,0.0318372782543,0.130178,-7.15808,7.61463,3.42217,-0.0093428,8.13317,0.0405265,3.375,1.0,0.00145631902126,0.162077897106,-2.92501626698
-101.591,4096,147456,-0.0643167141917,-0.0907852534972,0.000766618678009,0.000380385313512,-9.71445146547e-17,-2.71731804415,15.2146043429,0.999726332737,0.0223070740198,-0.929005859193,1.599,0.0312709331619,0.12641,-10.7929,7.81397,3.49032,0.149969,8.14357,0.0450958,5.0625,1.0,0.00105698515493,0.0958993538735,0.39695171525
-109.715,4096,151552,-0.0715490073697,-0.505243902786,0.00014818868658,0.00300935166819,1.38777878078e-17,-11.7975679706,1.94963179449,0.999925648644,0.0214371063349,-3.04524773691,1.599,0.0340500184986,0.15713,-8.45773,8.59964,3.55085,2.8557,8.15094,0.0624591,7.59375,1.0,0.00119487912631,0.103201710351,0.428058659253
