_TimeStep  _MeanReward
2502656  -98.801
2506752  -100.344
2510848  -97.93
2514944  -99.245
2519040  -93.4994
2523136  -92.7688
2527232  -95.6969
2531328  -91.9722
2535424  -95.0805
2539520  -91.6637
2543616  -94.2283
2547712  -99.3674
2551808  -83.9538
2555904  -98.7958
2560000  -100.54
2564096  -93.0601
2568192  -97.306
2572288  -133.97
2576384  -101.043
2580480  -92.1644
2584576  -93.3726
2588672  -95.8093
2592768  -92.8966
2596864  -96.6945
2600960  -131.686
2605056  -89.8513
2609152  -93.1612
2613248  -88.6162
2617344  -99.7253
2621440  -88.5412
2625536  -93.5661
2629632  -88.9959
2633728  -95.2753
2637824  -91.5789
2641920  -88.5269
2646016  -86.7311
2650112  -92.116
2654208  -92.6492
2658304  -91.4245
2662400  -127.63
2666496  -91.25
2670592  -116.535
2674688  -129.774
2678784  -96.2789
2682880  -96.0033
2686976  -103.609
2691072  -100.505
2695168  -93.6577
2699264  -92.7273
2703360  -95.2492
2707456  -99.3629
2711552  -96.4705
2715648  -82.6983
2719744  -87.607
2723840  -103.112
2727936  -111.152
2732032  -105.167
2736128  -107.74
2740224  -109.143
2744320  -109.89
2748416  -113.327
2752512  -107.229
2756608  -112.621
2760704  -110.158
2764800  -96.8065
2768896  -99.1337
2772992  -91.0819
2777088  -102.251
2781184  -95.0535
2785280  -97.1659
2789376  -100.122
2793472  -96.9178
2797568  -98.7835
2801664  -97.0631
2805760  -95.313
2809856  -91.8245
2813952  -94.6745
2818048  -90.6196
2822144  -97.1576
2826240  -89.7073
2830336  -98.2914
2834432  -99.1984
2838528  -94.2958
2842624  -88.2946
2846720  -93.7778
2850816  -92.5241
2854912  -95.0376
2859008  -92.6886
2863104  -93.0561
2867200  -91.8567
2871296  -93.194
2875392  -88.1223
2879488  -97.0816
2883584  -96.1086
2887680  -95.5793
2891776  -107.523
2895872  -92.2823
2899968  -93.8643
2904064  -91.9515
2908160  -92.5494
2912256  -98.7748
2916352  -95.8276
2920448  -93.4364
2924544  -92.1834
2928640  -90.8868
2932736  -92.4782
2936832  -95.0448
2940928  -89.898
2945024  -94.3782
2949120  -92.9679
2953216  -90.8154
2957312  -96.4821
2961408  -90.2397
2965504  -97.5992
2969600  -95.6755
2973696  -128.302
2977792  -121.898
2981888  -124.929
2985984  -93.9716
2990080  -99.4743
2994176  -105.432
2998272  -132.15
3002368  -127.44
3006464  -100.817
3010560  -128.429
3014656  -103.147
3018752  -143.562
3022848  -97.2601
3026944  -89.4209
3031040  -141.657
3035136  -98.2208
3039232  -123.754
3043328  -134.172
3047424  -108.241
3051520  -106.993
3055616  -93.218
3059712  -103.258
3063808  -129.236
3067904  -102.492
3072000  -108.528
3076096  -137.384
3080192  -99.0247
3084288  -107.08
3088384  -95.051
3092480  -96.0843
3096576  -106.104
3100672  -102.469
3104768  -97.4975
3108864  -143.11
3112960  -95.9252
3117056  -115.686
3121152  -98.8975
3125248  -100.141
3129344  -95.8191
3133440  -88.2647
3137536  -114.695
3141632  -92.9897
3145728  -108.774
3149824  -105.321
3153920  -95.2793
3158016  -111.273
3162112  -103.792
3166208  -109.86
3170304  -112.352
3174400  -119.703
3178496  -111.26
3182592  -119.685
3186688  -121.254
3190784  -123.12
3194880  -114.651
3198976  -129.54
3203072  -128.885
3207168  -128.61
3211264  -129.287
3215360  -135.231
3219456  -122.475
3223552  -138.963
3227648  -129.506
3231744  -124.906
3235840  -120.937
3239936  -131.654
3244032  -120.999
3248128  -115.487
3252224  -134.704
3256320  -111.325
3260416  -111.967
3264512  -124.523
3268608  -116.593
3272704  -117.362
3276800  -115.82
3280896  -122.047
3284992  -108.545
3289088  -104.428
3293184  -118.329
3297280  -108.013
3301376  -144.952
3305472  -113.965
3309568  -105.505
3313664  -102.836
3317760  -102.256
3321856  -109.293
3325952  -103.765
3330048  -122.613
