_MeanReward,Steps,_Episode,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-93.7471,29078,500,0.0324068423412,-3.15778345969,2.77580122562,0.0442073601988,-0.0318624,-2.72893,3.4105,0.429697,-3.42100498681e-18,-19.4407377921,21.4395837794,0.999870032492,-0.0543371580316,-0.5,0.00114206558514,0.00123917269718,-0.0145613,3.76874,0.00387636,1.5,1.0,0.000117748956814,0.907834753291,0.211191806194
-98.4083,26001,520,0.0350135653501,-2.74582981541,2.80285940774,0.0477665407904,-0.0363237,-3.05853,3.42749,0.434682,1.6396509421e-18,-13.7347969565,15.6671854888,0.999915387713,-0.0581146594941,-0.5,0.0032641006119,0.00224213543656,-0.00448827,3.78483,0.00207626,1.5,1.0,0.000207442930659,0.916887336507,0.591948335989
-93.4917,32000,540,0.0302134440881,-1.70846888352,2.09851787503,0.0404653520345,-0.0416269,-2.88086,3.18085,0.431093,-2.75335310107e-17,-12.397212491,22.1339652421,0.999861235407,-0.0519121283624,-0.08520225108,0.00286815777544,0.000238938271518,-0.0059623,3.80101,0.00488011,1.5,1.0,6.91555326646e-05,0.721475623993,-3.12637830113
-101.496,21223,560,0.0324317439133,-1.64629353627,2.15013909846,0.0433253506535,-0.0462899,-2.83637,2.89488,0.44479,1.07135501787e-17,-12.9327587568,2.9666714915,0.999938064526,-0.0609665447475,-0.500200721845,0.00195920059045,0.00358021749013,-0.00223159,3.81212,0.00105225,1.0,1.0,0.000297450975136,0.918847161912,0.412576942216
-94.6611,30509,580,0.0293734501926,-1.45415602199,1.975002874,0.0396711002964,-0.0460337,-2.97844,2.99822,0.441288,-2.23580263637e-17,-20.253753273,15.0029804487,0.999893446895,-0.0533088305017,-0.5,0.000926347875335,0.000737613026804,-0.00352736,3.80432,0.0035518,1.0,1.0,0.000124999648235,0.864139421054,-0.0777367528273
-98.6948,28960,600,0.0313069359233,-1.74481551191,1.97086998129,0.0423223428639,-0.042034,-3.03816,2.83074,0.451117,9.81412618453e-19,-21.2030613698,14.0659797217,0.999875030598,-0.0557988463829,-0.5,0.0033820677695,0.00114581919898,-0.00316524,3.79828,0.00271231,1.0,1.0,0.000115395651497,0.900808625815,0.564992701821
-94.1782,32000,620,0.0270872791934,-1.49893874183,1.95654007425,0.0384289178181,-0.0483447,-3.00096,3.272,0.440697,8.61533067109e-17,-7.93395919632,19.2749440929,0.999824856568,-0.0524088366683,-0.0810972463982,0.0017415149502,0.000218282165259,-0.00131986,3.78595,0.000951652,0.666666666667,1.0,4.01243589241e-05,0.818171444338,-4.98149713976
-94.0052,30485,640,0.0290055525851,-1.43289668804,1.95458736696,0.0393474293663,-0.0467564,-3.14829,2.75792,0.443401,-1.25862908745e-17,-19.7758109403,35.9215571598,0.999889446134,-0.0534008510541,-0.5,0.00570654630363,0.000646649662299,-0.00145865,3.77491,0.00196795,0.666666666667,1.0,9.98938219009e-05,0.866165806869,0.298479045439
-93.274,32000,660,0.0271558878052,-2.09942243811,1.95781185768,0.038442266243,-0.0483278,-3.2871,3.07371,0.440739,1.59872115546e-17,-11.4356180282,33.7570721578,0.999853311991,-0.052048861847,-0.088016697577,0.00849452051257,0.000195083419942,-0.00403278,3.76703,0.00369444,0.666666666667,1.0,5.97913216494e-05,0.693805039455,-1.21422616225
-98.2372,25910,680,0.0295592393886,-1.88988197428,1.94596887077,0.0408837697461,-0.0486373,-3.11713,3.1184,0.450667,6.58163861762e-18,-16.9280910946,7.60276205387,0.999921293092,-0.0567094317296,-0.5,0.00184013665586,0.00211697351804,-0.00627963,3.75469,0.00667218,1.0,1.0,0.000227599442345,0.901824484417,0.225752098101
-93.4906,30518,700,0.026002186942,-2.51994572303,1.93142172274,0.0376186753625,-0.0572745,-3.07727,3.01453,0.438951,6.70542984137e-17,-25.1053275646,26.738254825,0.999889281885,-0.0533510240339,-0.5,0.00229850978793,0.000636120996831,-0.0050594,3.76958,0.00261586,1.0,1.0,0.000212201141606,0.734127430009,0.176665110516
-93.459,30476,720,0.0250852703785,-1.53485605518,1.93466414726,0.0355897851585,-0.0589971,-3.02927,3.02105,0.437987,1.21003963729e-16,-27.6144052272,16.6797875853,0.999853974806,-0.0527013132701,-0.5,0.000314904444167,0.000554028395791,-0.00273134,3.79249,0.00256285,1.0,1.0,0.000184056438878,0.809536243798,-0.136109807524
-92.9335,30465,740,0.0243264759805,-1.80796430594,1.93260900877,0.0353373852437,-0.0553318,-2.95591,3.19954,0.446019,2.05244578194e-17,-25.7400239891,29.2159063458,0.999867977403,-0.0518630760227,-0.5,0.00187523013634,0.000519639723717,-0.00693695,3.79223,0.00612967,1.5,1.0,0.000109819255308,0.803494640512,-0.359731217106
-95.0466,27350,760,0.0265414654052,-1.85008481562,1.93378376603,0.0376928945956,-0.0480335,-2.94187,3.50677,0.446054,-1.55877748247e-18,-23.6675071976,18.5291402073,0.999872755581,-0.0530618959555,-0.5,0.0041972028764,0.0011389943742,-0.00326628,3.79297,0.00104406,1.0,1.0,0.000216466675935,0.823566689369,0.341148275773
-93.0734,30508,780,0.0233468012723,-2.03197259829,1.92482611307,0.035062213136,-0.0489221,-2.88186,3.12222,0.443728,2.23587592215e-17,-16.6349418861,20.9804737382,0.999838127776,-0.05124941288,-0.5,0.00191200327437,0.000608098951971,-0.0109396,3.80153,0.0124723,1.5,1.0,9.43174174358e-05,0.851354677475,0.123319063262
-89.992,32000,800,0.0283445126407,-2.14825167651,1.92482532624,0.0384872547443,-0.0441392,-2.88397,3.12159,0.450786,1.42108547152e-17,-11.7346915146,16.0938611801,0.99991149691,-0.050324557649,-0.083527208322,0.000231289445928,0.000164969938697,-0.000942937,3.82883,0.000574412,1.0,1.0,0.000169680433569,0.483510575781,-15.5981663471
